Id,Desktop,Desktop[Brazil],Desktop[Guatemala],AppStore,AppStore[Brazil],AppStore[Guatemala],Name,Name[en],Name[es],Name[pt],Name[zh],Comment,Comment[en],Comment[es],Comment[pt],Comment[zh],URL,URL[en],URL[es],URL[pt],URL[zh],Icon,Icon[en],Icon[es],Icon[pt],Icon[zh],Categories
twitter,,,,X,X,X,Twitter,,,,,,,,,,http://www.twitter.com,,,,,twitter,,,,,Entertainment;Games;
unodc,,,,,X,,Campanha Contra Drogas UN,,,,,,,,,,http://www.unodc.org/southerncone/pt/drogas/campanhas.html,,,,,unodc,,,,,Health;Education;
upasrio,,,,,X,,UPAs Rio,,,,,,,,,,http://www.saude.rj.gov.br/upas-24-horas/5629-upa-24h-rio-de-janeiro.html,,,,,upa24h,,,,,Rio;
vasco,,,,,X,,Vasco da Gama,,,,,,,,,,http://www.vasco.com.br/site/,,,,,vasco-da-gama,,,,,Sports;
vivario,,,,,X,,Viva Favela (Viva Rio),,,,,,,,,,http://vivario.org.br/viva-favela/,,,,,vivafavela,,,,,Rio;
wikipedia,,,,X,X,X,Wikipedia,,,Wikipédia,,,,,,,http://en.wikipedia.org,,http://es.wikipedia.org,http://pt.wikipedia.org,http://zh.wikipedia.org,wikipedia,,,,,Health;Education;
worldwonders,curiosity:60,curiosity:60,curiosity:60,X,X,X,World Wonders,,Maravillas,Maravilhas,,World Wonders Project,,,,,http://www.google.com/culturalinstitute/worldwonders/,,http://www.google.com/intl/es-419/culturalinstitute/worldwonders/,http://www.google.com/intl/pt-BR/culturalinstitute/worldwonders/,,worldwonders,,,,,Education;
wsj,news:40,,,X,,,Wall St Journal,,,,,,,,,,http://www.wsj.com,,,,,wsj,,,,,Network;
yahoo,,,,X,X,X,Yahoo,,,,,,,,,,http://www.yahoo.com,,,,,yahoo,,,,,Network;
youtube,,,,X,X,X,YouTube,,,,,,,,,,http://www.youtube.com,,,,,youtube,,,,,Entertainment;Games;
zap,,,,,X,,Zap,,,,,,,,,,http://www.zap.com.br,,,,,zap,,,,,Jobs;
